"wktLabel","farm","sta","dst"
"Strahack Farm","http://linkedgeodata.org/triplify/way817739612","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_343","3.478633e0"
"South Grange","http://linkedgeodata.org/triplify/way682405635","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_242","8.271431e0"
"Killen's Farm","http://linkedgeodata.org/triplify/way369768121","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1942","4.78341e0"
"Birdtown","http://linkedgeodata.org/triplify/way1107971765","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_242","2.701239e0"
"McCleery Wiliam","http://linkedgeodata.org/triplify/way675479809","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_642","8.53768e0"
"Mullan Cottage","http://linkedgeodata.org/triplify/way691697481","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_237","4.647808e0"
"Garvary Lodge","http://linkedgeodata.org/triplify/way690221785","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_237","3.480003e0"
"Knockadoois Springs","http://linkedgeodata.org/triplify/way690216283","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_237","1.458818e0"
"Killycramph Cottage","http://linkedgeodata.org/triplify/way690433242","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5037","3.21735e0"
"Killynick House","http://linkedgeodata.org/triplify/way690452250","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5037","2.495571e0"
"Killmackan House","http://linkedgeodata.org/triplify/way690452318","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5037","3.217746e0"
"Cavanagh Free Range Eggs","http://linkedgeodata.org/triplify/way546416244","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1437","5.83756e0"
"Drummond Moor Dairy Farm","http://linkedgeodata.org/triplify/way679720998","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3138","3.876444e0"
"Beech House","http://linkedgeodata.org/triplify/way684842706","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3138","7.885473e0"
"Raheny Farmyard","http://linkedgeodata.org/triplify/way986450731","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_632","0.847511e0"
"Julias Dale","http://linkedgeodata.org/triplify/way986450733","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_632","0.821055e0"
"Newgrange Farm","http://linkedgeodata.org/triplify/way552654661","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_131","4.452245e0"
"Lagoon","http://linkedgeodata.org/triplify/way113592126","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2532","5.378894e0"
"Hayden Farm","http://linkedgeodata.org/triplify/way1035821200","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_431","3.073086e0"
"Val Morgan Farm","http://linkedgeodata.org/triplify/way1035821205","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_431","2.382643e0"
"Causey Farm","http://linkedgeodata.org/triplify/way853242573","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5131","4.041361e0"
"New Inn Piggery","http://linkedgeodata.org/triplify/way470103512","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_430","4.686008e0"
"Frankfort","http://linkedgeodata.org/triplify/way1085999273","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_7029","3.430179e0"
"Lakeland Fishery","http://linkedgeodata.org/triplify/way153276792","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1829","0.27743e0"
"Cleaboy Stud Farm","http://linkedgeodata.org/triplify/way1107769246","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_2222","2.957701e0"
"Garlandstown Stud","http://linkedgeodata.org/triplify/way301653014","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_122","5.561527e0"
"Derravarra Equine Clinc","http://linkedgeodata.org/triplify/way302040269","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_122","4.90818e0"
"Rose Hazel Farm","http://linkedgeodata.org/triplify/way518542986","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1631","4.982703e0"
"Whelehan's","http://linkedgeodata.org/triplify/way510539680","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1131","4.898665e0"
"Hyde Park","http://linkedgeodata.org/triplify/way149727683","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3531","0.047911e0"
"Annaskinnan","http://linkedgeodata.org/triplify/way149727689","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_5831","0.634269e0"
"Ballindoolin House","http://linkedgeodata.org/triplify/way362291980","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3231","5.153907e0"
"Tally Ho Stud","http://linkedgeodata.org/triplify/way1107984598","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_1222","1.05062e0"
"Castlecuffe","http://linkedgeodata.org/triplify/way970303837","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_522","3.600867e0"
"North Grove","http://linkedgeodata.org/triplify/way968927966","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_9913","4.678327e0"
"Avenue Farm","http://linkedgeodata.org/triplify/way970170925","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_3513","6.803945e0"
"Johnsgrove","http://linkedgeodata.org/triplify/way983530476","http://www.semanticweb.org/jiantaowu/ontologies/2022/3/CubeCA/resource/station_ie_814","5.084858e0"
